19 Jun 2026,FT,Scotland,0,0,Morocco,1,0,FIFA World Cup 2026™,First Stage,Boston Stadium
19 Jun 2026,FT,USA,2,1,Australia,0,0,FIFA World Cup 2026™,First Stage,Seattle Stadium
19 Jun 2026,FT,Mexico,1,1,Korea_Republic,0,0,FIFA World Cup 2026™,First Stage,Guadalajara Stadium
18 Jun 2026,FT,Canada,6,1,Qatar,0,0,FIFA World Cup 2026™,First Stage,BC Place Vancouver
18 Jun 2026,FT,Switzerland,4,0,Bosnia_and_Herzegovina,1,0,FIFA World Cup 2026™,First Stage,Los Angeles Stadium
18 Jun 2026,FT,Czechia,1,0,South_Africa,1,0,FIFA World Cup 2026™,First Stage,Atlanta Stadium
18 Jun 2026,FT,Uzbekistan,1,0,Colombia,3,0,FIFA World Cup 2026™,First Stage,Mexico City Stadium
17 Jun 2026,FT,Ghana,1,0,Panama,0,0,FIFA World Cup 2026™,First Stage,Toronto Stadium
17 Jun 2026,FT,England,4,0,Croatia,2,0,FIFA World Cup 2026™,First Stage,Dallas Stadium
17 Jun 2026,FT,Portugal,1,0,Congo_DR,1,0,FIFA World Cup 2026™,First Stage,Houston Stadium
17 Jun 2026,FT,Austria,3,0,Jordan,1,0,FIFA World Cup 2026™,First Stage,San Francisco Bay Area Stadium
17 Jun 2026,FT,Argentina,3,0,Algeria,0,0,FIFA World Cup 2026™,First Stage,Kansas City Stadium
16 Jun 2026,FT,Iraq,1,0,Norway,4,0,FIFA World Cup 2026™,First Stage,Boston Stadium
16 Jun 2026,FT,France,3,0,Senegal,1,0,FIFA World Cup 2026™,First Stage,New York/New Jersey Stadium
16 Jun 2026,FT,IR_Iran,2,0,New_Zealand,2,0,FIFA World Cup 2026™,First Stage,Los Angeles Stadium
15 Jun 2026,FT,Saudi_Arabia,1,0,Uruguay,1,0,FIFA World Cup 2026™,First Stage,Miami Stadium
15 Jun 2026,FT,Belgium,1,0,Egypt,1,0,FIFA World Cup 2026™,First Stage,Seattle Stadium
15 Jun 2026,FT,Spain,0,0,Cabo_Verde,0,0,FIFA World Cup 2026™,First Stage,Atlanta Stadium
15 Jun 2026,FT,Sweden,5,0,Tunisia,1,0,FIFA World Cup 2026™,First Stage,Monterrey Stadium
14 Jun 2026,FT,Côte_d_Ivoire,1,0,Ecuador,0,0,FIFA World Cup 2026™,First Stage,Philadelphia Stadium
14 Jun 2026,FT,Netherlands,2,0,Japan,2,0,FIFA World Cup 2026™,First Stage,Dallas Stadium
14 Jun 2026,FT,Germany,7,0,Curaçao,1,0,FIFA World Cup 2026™,First Stage,Houston Stadium
14 Jun 2026,FT,Australia,2,0,Türkiye,0,0,FIFA World Cup 2026™,First Stage,BC Place Vancouver
14 Jun 2026,FT,Haiti,0,0,Scotland,1,0,FIFA World Cup 2026™,First Stage,Boston Stadium
13 Jun 2026,FT,Brazil,1,0,Morocco,1,0,FIFA World Cup 2026™,First Stage,New York/New Jersey Stadium
13 Jun 2026,FT,Qatar,1,0,Switzerland,1,0,FIFA World Cup 2026™,First Stage,San Francisco Bay Area Stadium
13 Jun 2026,FT,USA,4,1,Paraguay,1,0,FIFA World Cup 2026™,First Stage,Los Angeles Stadium
12 Jun 2026,FT,Canada,1,1,Bosnia_and_Herzegovina,1,0,FIFA World Cup 2026™,First Stage,Toronto Stadium
12 Jun 2026,FT,Korea_Republic,2,0,Czechia,1,0,FIFA World Cup 2026™,First Stage,Guadalajara Stadium
11 Jun 2026,FT,Mexico,2,1,South_Africa,0,0,FIFA World Cup 2026™,First Stage,Mexico City Stadium
10 Jun 2026,FT,England,3,0,Costa_Rica,0,0,Friendly 2026,-,Inter&Co Stadium
10 Jun 2026,FT,Portugal,2,1,Nigeria,1,0,Friendly 2026,-,Estádio Dr. Magalhães Pessoa
10 Jun 2026,FT,Pakistan,2,0,Afghanistan,0,0,Diamond Jubilee International Football Tournament,Second stage,Rasmee Dhandu (Galolhu) National Stadium
10 Jun 2026,FT,Venezuela,2,0,Iraq,0,0,Friendly 2026,-,Toyota Park
10 Jun 2026,FT,Argentina,3,0,Iceland,0,0,Friendly 2026,-,Pat Dye Field at Jordan–Hare Stadium
09 Jun 2026,FT,Senegal,0,0,Saudi_Arabia,0,0,Friendly 2026,-,Toyota Field
09 Jun 2026,FT,Liberia,3,1,Sierra_Leone,1,0,Friendly 2026,-,Samuel Kanyon Doe Sports Complex
09 Jun 2026,FT,Benin,1,0,Togo,5,0,Friendly 2026,-,Stade El Bachir
09 Jun 2026,FT,Azerbaijan,2,0,San_Marino,1,0,Friendly 2026,-,Haladás Sportkomplexum
09 Jun 2026,FT,Angola,3,0,Central_African_Republic,0,0,Friendly 2026,-,Stade Larbi Zaouli
09 Jun 2026,FT,Russia,3,1,Trinidad_and_Tobago,0,0,Friendly 2026,-,Kaliningrad Stadium
09 Jun 2026,FT,Hungary,3,1,Kazakhstan,1,0,Friendly 2026,-,Nagyerdei Stadion
09 Jun 2026,FT,Belarus,2,1,Burkina_Faso,2,0,Friendly 2026,-,New National Stadium
09 Jun 2026,FT,Congo_DR,1,0,Chile,2,0,Friendly 2026,-,Stade de la Source
09 Jun 2026,FT,Estonia,1,1,Lithuania,0,0,Baltic Cup 2026,Second stage,A. Le Coq Arena
09 Jun 2026,FT,Ethiopia,1,1,Malawi,1,0,Friendly 2026,-,Dire Dawa Stadium
09 Jun 2026,FT,Armenia,1,1,Moldova,1,0,Friendly 2026,-,Vazgen Sargsyan Republican Stadium
09 Jun 2026,FT,Tajikistan,1,1,India,1,0,Friendly 2026,-,Hisor Central Stadium
09 Jun 2026,FT,Latvia,0,1,Faroe_Islands,1,0,Baltic Cup 2026,Second stage,LNK Sporta Parks
09 Jun 2026,FT,Kyrgyz_Republic,0,1,Palestine,0,0,Friendly 2026,-,Dolen Omurzakov Stadium
09 Jun 2026,FT,Indonesia,1,1,Mozambique,0,0,Friendly 2026,-,Gelora Bung Karno Stadium
09 Jun 2026,FT,Cambodia,2,1,Hong_Kong,0,0,Friendly 2026,-,National Sports Complex (Olympic Stadium)
09 Jun 2026,FT,China_PR,0,1,Thailand,0,0,Friendly 2026,-,Jinhua Sports Center
09 Jun 2026,FT,Philippines,5,1,Myanmar,1,0,Three Nations Tournament - Philippines 2026,Tournament,Rizal Memorial Stadium
09 Jun 2026,FT,Timor-Leste,3,0,Brunei,1,0,ASEAN Hyundai Cup 2026,Qualifying Round,KLFA Stadium
09 Jun 2026,FT,Vanuatu,2,1,Fiji,2,0,Friendly 2026,-,Freshwater Stadium
09 Jun 2026,FT,Spain,3,0,Peru,1,0,Friendly 2026,-,Estadio Cuauhtemoc
08 Jun 2026,FT,France,3,1,Northern_Ireland,1,0,Friendly 2026,-,Decathlon Arena Stade Pierre Mauroy
08 Jun 2026,FT,Niger,0,0,Mauritania,1,0,Friendly 2026,-,Stade Père Jégo
08 Jun 2026,FT,Netherlands,2,0,Uzbekistan,1,0,Friendly 2026,-,Icahn Stadium
08 Jun 2026,FT,Sri_Lanka,4,0,Bhutan,1,0,Friendly 2026,-,NT Stadium
07 Jun 2026,FT,Colombia,2,0,Jordan,0,0,Friendly 2026,-,Snapdragon Stadium
07 Jun 2026,FT,Norway,1,0,Morocco,1,0,Friendly 2026,-,Red Bull Arena
07 Jun 2026,FT,Ecuador,3,0,Guatemala,0,0,Friendly 2026,-,Lower.com Field
07 Jun 2026,FT,Greece,0,1,Italy,1,0,Friendly 2026,-,Pankritio Stadium
07 Jun 2026,FT,Croatia,2,1,Slovenia,1,0,Friendly 2026,-,Anđelko Herjavec Stadium
07 Jun 2026,FT,Kosovo,3,1,Andorra,0,0,Friendly 2026,-,Fadil Vokrri Stadium
07 Jun 2026,FT,Lesotho,0,0,Kenya,4,0,Friendly 2026,-,Lucas 'Masterpieces' Moripe Stadium
07 Jun 2026,FT,Liechtenstein,0,1,Cyprus,2,0,Friendly 2026,-,Rheinpark Stadion
07 Jun 2026,FT,Afghanistan,0,0,Pakistan,2,0,Diamond Jubilee International Football Tournament,First stage,Rasmee Dhandu (Galolhu) National Stadium
07 Jun 2026,FT,Curaçao,4,1,Aruba,0,0,Friendly 2026,-,Ergilio Hato Stadium
07 Jun 2026,FT,Argentina,2,0,Honduras,0,0,Friendly 2026,-,Kyle Field
06 Jun 2026,FT,Brazil,2,0,Egypt,1,0,Friendly 2026,-,Huntington Bank Field
06 Jun 2026,FT,Venezuela,1,0,Türkiye,2,0,Friendly 2026,-,DRV PNK Stadium
06 Jun 2026,FT,Bolivia,0,0,Scotland,4,0,Friendly 2026,-,Red Bull Arena
06 Jun 2026,FT,Bermuda,0,0,Cabo_Verde,3,0,Friendly 2026,-,Pratt & Whitney Stadium at Rentschler Field
06 Jun 2026,FT,El_Salvador,0,0,Qatar,0,0,Friendly 2026,-,BMO Stadium
06 Jun 2026,FT,England,1,0,New_Zealand,0,0,Friendly 2026,-,Raymond James Stadium
06 Jun 2026,FT,Switzerland,1,0,Australia,1,0,Friendly 2026,-,Snapdragon Stadium
06 Jun 2026,FT,Bosnia_and_Herzegovina,1,0,Panama,1,0,Friendly 2026,-,Energizer Park
06 Jun 2026,FT,USA,1,1,Germany,2,0,Friendly 2026,-,Soldier Field
06 Jun 2026,FT,Albania,0,1,Luxembourg,1,0,Friendly 2026,-,Air Albania Stadium
06 Jun 2026,FT,Portugal,2,1,Chile,1,0,Friendly 2026,-,Estádio Nacional
06 Jun 2026,FT,Romania,2,1,Wales,1,0,Friendly 2026,-,Stadionul Steaua
06 Jun 2026,FT,Gibraltar,4,1,Cayman_Islands,1,0,Friendly 2026,-,Europa Point Stadium
06 Jun 2026,FT,Sierra_Leone,1,1,Liberia,0,0,Friendly 2026,-,Southern Arena Stadium
06 Jun 2026,FT,Ethiopia,1,1,Malawi,0,0,Friendly 2026,-,Dire Dawa Stadium
06 Jun 2026,FT,Estonia,1,1,Faroe_Islands,0,0,Baltic Cup 2026,First stage,Pärnu Rannastaadion
06 Jun 2026,FT,Kyrgyz_Republic,0,1,Palestine,0,0,Friendly 2026,-,Dolen Omurzakov Stadium
06 Jun 2026,FT,Armenia,1,1,Kazakhstan,1,0,Friendly 2026,-,Vazgen Sargsyan Republican Stadium
06 Jun 2026,FT,Belgium,5,1,Tunisia,0,0,Friendly 2026,-,Stade Roi Baudouin
06 Jun 2026,FT,Lithuania,1,1,Latvia,1,0,Baltic Cup 2026,First stage,S. Darius & S. Girenas Stadium
06 Jun 2026,FT,Myanmar,6,0,Guam,1,0,Three Nations Tournament - Philippines 2026,Tournament,Rizal Memorial Stadium
06 Jun 2026,FT,Vanuatu,2,1,Fiji,1,0,Friendly 2026,-,Freshwater Stadium
06 Jun 2026,FT,Puerto_Rico,0,0,Saudi_Arabia,3,0,Friendly 2026,-,Q2 Stadium
06 Jun 2026,FT,Peru,2,0,Haiti,1,0,Friendly 2026,-,Nu Stadium
05 Jun 2026,FT,Canada,1,1,Republic_of_Ireland,1,0,Friendly 2026,-,Saputo Stadium
05 Jun 2026,FT,Paraguay,4,1,Nicaragua,0,0,Friendly 2026,-,Estadio Defensores del Chaco
05 Jun 2026,FT,Angola,1,0,Mauritania,1,0,Friendly 2026,-,Stade Larbi Zaouli
05 Jun 2026,FT,Benin,1,0,Niger,1,0,Friendly 2026,-,Stade Père Jégo
05 Jun 2026,FT,Togo,1,0,Central_African_Republic,1,0,Friendly 2026,-,Stade El Bachir
05 Jun 2026,FT,Azerbaijan,0,0,Malta,2,0,Friendly 2026,-,Haladás Sportkomplexum
05 Jun 2026,FT,Hungary,2,1,Finland,1,0,Friendly 2026,-,Puskás Aréna
05 Jun 2026,FT,Russia,3,1,Burkina_Faso,0,0,Friendly 2026,-,Central Stadium
05 Jun 2026,FT,San_Marino,1,1,Bangladesh,2,0,Friendly 2026,-,San Marino Stadium
05 Jun 2026,FT,Moldova,2,1,Bulgaria,2,0,Friendly 2026,-,Zimbru Stadium
05 Jun 2026,FT,Slovakia,2,1,Montenegro,2,0,Friendly 2026,-,Košická futbalová Aréna
05 Jun 2026,FT,Belarus,4,1,Syria,1,0,Friendly 2026,-,New National Stadium
05 Jun 2026,FT,Georgia,2,1,Bahrain,0,0,Friendly 2026,-,Mikheil Meskhi Stadium (Lokomotivi)
05 Jun 2026,FT,Tajikistan,3,1,India,1,0,Friendly 2026,-,Metallurg Stadium
05 Jun 2026,FT,Indonesia,3,1,Oman,0,0,Friendly 2026,-,Gelora Bung Karno Stadium
05 Jun 2026,FT,Thailand,2,1,Kuwait,2,0,Friendly 2026,-,True BG Stadium
05 Jun 2026,FT,Hong_Kong,2,1,Mongolia,0,0,Friendly 2026,-,Hong Kong Stadium
05 Jun 2026,FT,Singapore,1,1,China_PR,2,0,Friendly 2026,-,Jalan Besar Stadium
05 Jun 2026,FT,Mexico,5,1,Serbia,1,0,Friendly 2026,-,Bombonera - Estadio Nemesio Diez
05 Jun 2026,FT,Guatemala,1,0,Czechia,3,0,Friendly 2026,-,Red Bull Arena
04 Jun 2026,FT,France,1,0,Côte_d_Ivoire,2,0,Friendly 2026,-,-
