11 Jun 2026,FT,Mexico,2,South_Africa,0,FIFA World Cup 2026™,First Stage,Mexico City Stadium
10 Jun 2026,FT,England,3,Costa_Rica,0,Friendly 2026,-,Inter&Co Stadium
10 Jun 2026,FT,Portugal,2,Nigeria,1,Friendly 2026,-,Estádio Dr. Magalhães Pessoa
10 Jun 2026,FT,Pakistan,2,Afghanistan,0,Diamond Jubilee International Football Tournament,Second stage,Rasmee Dhandu (Galolhu) National Stadium
10 Jun 2026,FT,Venezuela,2,Iraq,0,Friendly 2026,-,Toyota Park
10 Jun 2026,FT,Argentina,3,Iceland,0,Friendly 2026,-,Pat Dye Field at Jordan–Hare Stadium
09 Jun 2026,FT,Senegal,0,Saudi_Arabia,0,Friendly 2026,-,Toyota Field
09 Jun 2026,FT,Liberia,3,Sierra_Leone,1,Friendly 2026,-,Samuel Kanyon Doe Sports Complex
09 Jun 2026,FT,Benin,1,Togo,5,Friendly 2026,-,Stade El Bachir
09 Jun 2026,FT,Azerbaijan,2,San_Marino,1,Friendly 2026,-,Haladás Sportkomplexum
09 Jun 2026,FT,Angola,3,Central_African_Republic,0,Friendly 2026,-,Stade Larbi Zaouli
09 Jun 2026,FT,Russia,3,Trinidad_and_Tobago,0,Friendly 2026,-,Kaliningrad Stadium
09 Jun 2026,FT,Hungary,3,Kazakhstan,1,Friendly 2026,-,Nagyerdei Stadion
09 Jun 2026,FT,Belarus,2,Burkina_Faso,2,Friendly 2026,-,New National Stadium
09 Jun 2026,FT,Congo_DR,1,Chile,2,Friendly 2026,-,Stade de la Source
09 Jun 2026,FT,Estonia,1,Lithuania,0,Baltic Cup 2026,Second stage,A. Le Coq Arena
09 Jun 2026,FT,Ethiopia,1,Malawi,1,Friendly 2026,-,Dire Dawa Stadium
09 Jun 2026,FT,Armenia,1,Moldova,1,Friendly 2026,-,Vazgen Sargsyan Republican Stadium
09 Jun 2026,FT,Tajikistan,1,India,1,Friendly 2026,-,Hisor Central Stadium
09 Jun 2026,FT,Latvia,0,Faroe_Islands,1,Baltic Cup 2026,Second stage,LNK Sporta Parks
09 Jun 2026,FT,Kyrgyz_Republic,0,Palestine,0,Friendly 2026,-,Dolen Omurzakov Stadium
09 Jun 2026,FT,Indonesia,1,Mozambique,0,Friendly 2026,-,Gelora Bung Karno Stadium
09 Jun 2026,FT,Cambodia,2,Hong_Kong,0,Friendly 2026,-,National Sports Complex (Olympic Stadium)
